Date,MSFT,AAPL,NFLX,WFC,ABT,GOOG,AMZN,JNJ,GS
2013-04-23,25.96225357,12.71902943,30.9985714,29.25273705,32.04454422,402.4415588,268.8999939,69.50808716,127.2511139
2013-04-24,26.94643402,12.69804764,30.95999908,29.41819382,31.45033646,405.2061768,268.7799988,68.64584351,128.1324921
2013-04-25,27.0991497,12.78949451,30.5357151,29.65454292,31.42449951,403.0393066,274.7000122,69.32100677,128.8713684
2013-04-26,26.9718895,13.0657177,30.79285622,29.8436203,31.39865112,399.2136536,254.8099976,69.23966217,128.2926788
2013-04-29,27.66760445,13.47033882,30.7157135,29.8436203,31.63117027,408.0007019,249.7400055,69.61384583,129.1829529
2013-04-30,28.0833416,13.86681652,30.86714363,29.92240906,31.79480743,410.7454224,253.8099976,69.32913971,130.0375824
2013-05-01,27.76093102,13.75752068,30.41571426,29.51273346,31.76897049,408.6831665,248.2299957,68.51571655,126.9573288
2013-05-02,28.13425064,13.95263195,30.64142799,29.4733448,31.91536522,413.256012,252.5500031,69.2722168,127.9010315
2013-05-03,28.41423416,14.09230804,30.49285698,29.73333359,31.69145584,421.2809448,258.0499878,69.75213623,129.4144135
2013-05-06,28.63483429,14.42834473,30.09857178,29.85938454,30.87333488,429.1663818,255.7200012,68.88175201,132.1563263
2013-05-07,28.26151276,14.36414814,29.4642849,30.25330925,31.0541935,427.0144348,257.730011,69.57315063,132.9309082
2013-05-08,27.99001694,14.52637196,29.80142784,30.5312252,31.25226212,435.1838379,258.6799927,69.51622009,133.7676849
2013-05-09,27.71002769,14.39964008,30.91571426,30.08656311,31.15752983,434.1128235,260.1600037,69.2640686,132.2364655
2013-05-10,27.73547745,14.27985001,31.09857178,30.19772339,31.14891624,438.4714966,263.6300049,69.76026917,132.7350006
2013-05-13,28.02395058,14.33564854,32.76856995,30.33270645,31.30393791,437.1265564,264.5100098,69.83343506,133.2068176
2013-05-14,28.64764977,13.99265385,33.42428589,30.7773838,31.90675735,441.8936768,268.3299866,70.74452209,137.5601501
2013-05-15,28.92105675,13.51946545,34.77142715,31.20616722,32.4320755,456.2349243,266.5599976,71.28953552,138.5304871
2013-05-16,29.11756897,13.70010471,33.86142731,31.17440605,31.71729851,450.2473755,264.1199951,71.13495636,137.515564
2013-05-17,29.79253387,13.65848923,34.1428566,31.66671181,31.5106163,452.8924561,269.8999939,71.65556335,140.8183899
2013-05-20,29.97195816,13.96333694,34.22142792,31.92082787,32.56126404,452.5686646,267.6300049,71.59047699,141.4593658
2013-05-21,29.77544403,13.86025238,33.86999893,32.30195236,32.4837532,451.7915649,268.8599854,72.06227112,143.0885468
2013-05-22,29.57039642,13.91352749,32.65142822,31.8414135,32.4837532,443.0493469,262.9599915,71.95652771,141.85112
2013-05-23,29.17737389,13.9384346,32.31142807,31.76994514,32.27705765,439.7467346,261.7999878,71.47299957,140.1329041
